CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Jun/02/1997 ,Female,Other National Origin - Obsolete,May/28/1970 ,NULL,W,515210,Cable and Other Subscription Programming,15 - 100 Employees,Private Employer
Jun/02/1997 ,Male,Other National Origin - Obsolete,Mar/04/1974 ,NULL,W,812113,Nail Salons,15 - 100 Employees,Private Employer
Jun/03/1997 ,Female,Other National Origin - Obsolete,Feb/07/1959 ,NULL,W,721110,Hotels (except Casino Hotels) and Motels,15 - 100 Employees,Private Employer
Jun/03/1997 ,Female,Other National Origin - Obsolete,Jan/27/1947 ,NULL,W,713990,All Other Amusement and Recreation Industries,501+ Employees,Private Employer
Jun/04/1997 ,Female,Other National Origin - Obsolete,Jan/11/1971 ,NULL,B,326199,All Other Plastics Product Manufacturing,15 - 100 Employees,Private Employer
May/20/1997 ,Female,Other National Origin - Obsolete,Dec/29/1974 ,NULL,B,611710,Educational Support Services,501+ Employees,Private Employer
May/22/1997 ,Female,Other National Origin - Obsolete,Jun/08/1965 ,NULL,B,524127,Direct Title Insurance Carriers,15 - 100 Employees,Private Employer
Jun/04/1997 ,Male,Other National Origin - Obsolete,Apr/15/1959 ,NULL,W,519120,Libraries and Archives,101 - 200 Employees,State/Local Govt
Jun/05/1997 ,Female,Other National Origin - Obsolete,Oct/16/1971 ,NULL,B,621610,Home Health Care Services,15 - 100 Employees,Private Employer
Jun/05/1997 ,Female,Other National Origin - Obsolete,Dec/08/1973 ,NULL,W,541921,"Photography Studios, Portrait",501+ Employees,Private Employer
Jun/05/1997 ,Female,Hispanic - Obsolete,Apr/25/1954 ,NULL,O,813319,Other Social Advocacy Organizations,101 - 200 Employees,Private Employer
Jun/05/1997 ,Female,Other National Origin - Obsolete,Mar/07/1954 ,NULL,W,482111,Line-Haul Railroads,501+ Employees,Private Employer
Jun/06/1997 ,Female,Other National Origin - Obsolete,Jul/28/1969 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Jun/06/1997 ,Female,Other National Origin - Obsolete,Aug/01/1946 ,NULL,W,488490,Other Support Activities for Road Transportation,Unknown Number Of Employees,Private Employer
Jun/06/1997 ,Female,Other National Origin - Obsolete,Sep/30/1962 ,NULL,O,561499,All Other Business Support Services,101 - 200 Employees,Private Employer
Jun/06/1997 ,Female,Other National Origin - Obsolete,Nov/27/1963 ,NULL,O,561499,All Other Business Support Services,101 - 200 Employees,Private Employer
Jun/06/1997 ,Female,Other National Origin - Obsolete,Mar/27/1958 ,NULL,W,721110,Hotels (except Casino Hotels) and Motels,101 - 200 Employees,Private Employer
Jun/06/1997 ,Female,Other National Origin - Obsolete,Jan/23/1953 ,NULL,W,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,501+ Employees,Private Employer
Jun/07/1997 ,Female,Other National Origin - Obsolete,Jan/16/1945 ,NULL,W,488190,Other Support Activities for Air Transportation,15 - 100 Employees,Private Employer
Jun/09/1997 ,Female,Other National Origin - Obsolete,Jan/13/1965 ,NULL,B,811198,All Other Automotive Repair and Maintenance,15 - 100 Employees,Private Employer
Jun/09/1997 ,Female,Hispanic - Obsolete,Aug/26/1963 ,NULL,W,721199,All Other Traveler Accommodation,501+ Employees,Private Employer
Jun/09/1997 ,Male,Other National Origin - Obsolete,Dec/20/1974 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Jun/09/1997 ,Male,Other National Origin - Obsolete,Sep/17/1963 ,NULL,W,922120,Police Protection,201 - 500 Employees,State/Local Govt
Jun/10/1997 ,Female,Other National Origin - Obsolete,May/22/1959 ,NULL,B,812990,All Other Personal Services,501+ Employees,Private Employer
Jun/10/1997 ,Male,Other National Origin - Obsolete,Oct/05/1965 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Jun/10/1997 ,Female,Other National Origin - Obsolete,Dec/14/1955 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,501+ Employees,Private Employer
Jun/11/1997 ,Female,Other National Origin - Obsolete,Nov/26/1957 ,NULL,W,484121,"General Freight Trucking, Long-Distance, Truckload",15 - 100 Employees,Private Employer
Jun/11/1997 ,Female,Other National Origin - Obsolete,Dec/20/1961 ,NULL,W,332995,Other Ordnance and Accessories Manufacturing,15 - 100 Employees,Private Employer
Jun/11/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,O,336611,Ship Building and Repairing,201 - 500 Employees,State/Local Govt
Jun/11/1997 ,Female,Other National Origin - Obsolete,Aug/05/1960 ,NULL,W,523991,"Trust, Fiduciary, and Custody Activities",15 - 100 Employees,Private Employer
Jun/11/1997 ,Female,Other National Origin - Obsolete,Aug/03/1967 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
